Id,Category
0,1
1,3
2,4
3,1
4,1
5,2
6,1
7,1
8,1
9,1
10,3
11,2
12,2
13,1
14,0
15,1
16,3
17,1
18,1
19,1
20,1
21,3
22,2
23,2
24,1
25,1
26,1
27,1
28,3
29,1
30,2
31,3
32,1
33,3
34,1
35,2
36,1
37,3
38,1
39,3
40,1
41,3
42,1
43,1
44,1
45,1
46,2
47,2
48,2
49,1
50,1
51,1
52,1
53,2
54,1
55,2
56,2
57,2
58,2
59,1
60,3
61,2
62,1
63,1
64,2
65,1
66,2
67,1
68,1
69,2
70,1
71,0
72,2
73,3
74,2
75,1
76,1
77,1
78,1
79,3
80,1
81,1
82,2
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,2
91,1
92,2
93,2
94,1
95,1
96,1
97,1
98,2
99,1
100,0
101,2
102,1
103,1
104,2
105,1
106,1
107,1
108,4
109,2
110,1
111,1
112,2
113,3
114,1
115,1
116,2
117,0
118,1
119,1
120,2
121,1
122,1
123,1
124,3
125,1
126,1
127,1
128,1
129,2
130,2
131,1
132,1
133,1
134,2
135,2
136,2
137,3
138,3
139,1
140,0
141,1
142,0
143,1
144,2
145,2
146,3
147,1
148,1
149,2
150,1
151,2
152,2
153,2
154,0
155,2
156,0
157,1
158,3
159,0
160,1
161,1
162,2
163,2
164,2
165,3
166,1
167,0
168,2
169,1
170,1
171,1
172,2
173,1
174,1
175,3
176,2
177,1
178,2
179,3
180,1
181,1
182,2
183,2
184,1
185,3
186,0
187,1
188,1
189,1
190,4
191,1
192,4
193,0
194,2
195,1
196,3
197,2
198,1
199,1
200,2
201,1
202,4
203,2
204,1
205,1
206,2
207,1
208,1
209,2
210,1
211,0
212,2
213,1
214,1
215,1
216,3
217,1
218,2
219,1
220,3
221,1
222,1
223,1
224,1
225,1
226,1
227,2
228,2
229,1
230,2
231,1
232,1
233,2
234,1
235,0
236,1
237,1
238,3
239,1
240,1
241,2
242,1
243,1
244,1
245,1
246,4
247,3
248,2
249,2
250,1
251,2
252,3
253,2
254,1
255,0
256,2
257,4
258,1
259,0
260,1
261,1
262,1
263,2
264,1
265,0
266,2
267,1
268,1
269,0
270,1
271,1
272,1
273,1
274,1
275,1
276,2
277,1
278,3
279,1
280,0
281,0
282,1
283,1
284,1
285,2
286,2
287,3
288,1
289,1
290,1
291,1
292,1
293,1
294,2
295,3
296,1
297,1
298,0
299,1
300,1
301,3
302,1
303,3
304,1
305,4
306,1
307,3
308,1
309,1
310,1
311,1
312,2
313,1
314,1
315,3
316,1
317,3
318,0
319,2
320,1
321,2
322,1
323,1
324,2
325,2
326,1
327,3
328,1
329,1
330,4
331,1
332,0
333,4
334,2
335,2
336,1
337,1
338,1
339,2
340,1
341,1
342,1
343,1
344,3
345,2
346,1
347,1
348,1
349,2
350,1
351,3
352,1
353,1
354,2
355,1
356,1
357,2
358,2
359,3
360,1
361,0
362,1
363,0
364,1
365,0
366,1
367,1
368,2
369,1
370,2
371,4
372,3
373,1
374,1
375,1
376,1
377,1
378,3
379,1
380,1
381,1
382,1
383,1
384,1
385,2
386,3
387,3
388,1
389,2
390,1
391,3
392,1
393,2
394,2
395,1
396,1
397,4
398,1
399,1
400,1
401,1
402,3
403,3
404,4
405,1
406,1
407,1
408,3
409,1
410,1
411,1
412,2
413,1
414,2
415,1
416,2
417,1
418,1
419,2
420,2
421,1
422,1
423,2
424,3
425,3
426,1
427,2
428,3
429,2
430,2
431,1
432,1
433,1
434,2
435,4
436,0
437,3
438,1
439,2
440,1
441,1
442,1
443,2
444,2
445,1
446,1
447,1
448,1
449,1
450,3
451,2
452,1
453,1
454,3
455,3
456,1
457,1
458,2
459,1
460,2
461,3
462,1
463,3
464,2
465,2
466,1
467,3
468,1
469,4
470,2
471,1
472,2
473,1
474,2
475,2
476,1
477,2
478,2
479,1
480,1
481,2
482,2
483,4
484,1
485,2
486,1
487,1
488,4
489,3
490,2
491,0
492,3
493,2
494,1
495,4
496,1
497,0
498,2
499,4
500,2
501,2
502,1
503,2
504,1
505,1
506,1
507,2
508,1
509,1
510,1
511,1
512,1
513,1
514,2
515,2
516,1
517,2
518,3
519,0
520,0
521,2
522,1
523,2
524,2
525,3
526,1
527,1
528,1
529,1
530,1
531,2
532,1
533,0
534,2
535,1
536,0
537,1
538,1
539,1
540,1
541,2
542,3
543,1
544,3
545,0
546,1
547,3
548,1
549,2
550,2
551,0
552,0
553,2
554,1
555,2
556,2
557,0
558,1
559,1
560,2
561,1
562,1
563,1
564,2
565,2
566,2
567,3
568,3
569,3
570,1
571,3
572,1
573,1
574,1
575,0
576,2
577,1
578,3
579,1
580,2
581,2
582,1
583,1
584,4
585,3
586,3
587,1
588,0
589,2
590,1
591,3
592,1
593,4
594,3
595,3
596,1
597,1
598,1
599,1
600,4
601,2
602,1
603,1
604,1
605,1
606,2
607,1
608,0
609,2
610,1
611,0
612,1
613,2
614,2
615,1
616,1
617,3
618,1
619,1
620,1
621,3
622,2
623,2
624,3
625,1
626,0
627,1
628,1
629,1
630,4
631,3
632,2
633,2
634,2
635,1
636,2
637,1
638,1
639,3
640,4
641,1
642,3
643,1
644,2
645,0
646,1
647,3
648,1
649,2
650,1
651,2
652,1
653,1
654,2
655,3
656,1
657,1
658,2
659,1
660,1
661,1
662,2
663,2
664,2
665,1
666,2
667,1
668,1
669,1
670,1
671,1
672,3
673,1
674,1
675,1
676,1
677,3
678,2
679,3
680,3
681,1
682,1
683,1
684,2
685,1
686,2
687,1
688,3
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,3
698,1
699,3
700,1
701,2
702,1
703,1
704,3
705,0
706,3
707,2
708,1
709,1
710,1
711,2
712,1
713,2
714,1
715,1
716,1
717,1
718,1
719,4
720,1
721,1
722,2
723,3
724,1
725,1
726,1
727,3
728,1
729,2
730,1
731,4
732,1
733,1
734,1
735,1
736,0
737,2
738,0
739,1
740,1
741,3
742,1
743,1
744,1
745,1
746,1
747,1
748,1
749,1
750,1
751,4
752,1
753,2
754,2
755,1
756,1
757,2
758,2
759,2
760,1
761,0
762,1
763,3
764,1
765,1
766,1
767,2
768,3
769,4
770,2
771,1
772,3
773,4
774,2
775,1
776,2
777,3
778,1
779,3
780,0
781,1
782,3
783,4
784,2
785,1
786,1
787,2
788,1
789,2
790,1
791,1
792,1
793,4
794,2
795,2
796,2
797,1
798,1
799,1
800,1
801,4
802,1
803,1
804,2
805,1
806,4
807,2
808,1
809,0
810,2
811,3
812,2
813,2
814,1
815,0
816,2
817,1
818,0
819,2
820,1
821,3
822,1
823,0
824,3
825,2
826,2
827,0
828,1
829,1
830,1
831,3
832,2
833,4
834,1
835,1
836,2
837,1
838,2
839,1
840,1
841,1
842,3
843,1
844,0
845,2
846,1
847,2
848,4
849,1
850,3
851,1
852,1
853,1
854,3
855,1
856,1
857,3
858,1
859,2
860,1
861,3
862,3
863,4
864,2
865,1
866,1
867,1
868,2
869,2
870,1
871,3
872,3
873,1
874,1
875,1
876,3
877,2
878,1
879,1
880,1
881,0
882,1
883,1
884,1
885,1
886,1
887,3
888,1
889,1
890,1
891,3
892,1
893,1
894,1
895,1
896,1
897,2
898,3
899,3
900,1
901,3
902,3
903,2
904,1
905,1
906,1
907,1
908,1
909,2
910,1
911,2
912,1
913,1
914,2
915,2
916,1
917,1
918,3
919,1
920,1
921,0
922,3
923,1
924,4
925,1
926,1
927,1
928,2
929,1
930,2
931,4
932,0
933,3
934,1
935,1
936,1
937,1
938,1
939,0
940,1
941,1
942,1
943,3
944,1
945,3
946,1
947,1
948,1
949,2
950,1
951,2
952,1
953,1
954,1
955,0
956,0
957,1
958,3
959,1
960,2
961,1
962,1
963,1
964,2
965,1
966,3
967,1
968,1
969,1
970,3
971,0
972,1
973,1
974,1
975,4
976,1
977,1
978,2
979,3
980,1
981,2
982,1
983,1
984,4
985,1
986,1
987,1
988,3
989,1
990,3
991,3
992,1
993,2
994,4
995,1
996,1
997,4
998,2
999,1
1000,1
1001,1
1002,2
1003,3
1004,0
1005,1
1006,1
1007,0
1008,1
1009,1
1010,3
1011,1
1012,4
1013,1
1014,3
1015,2
1016,3
1017,0
1018,2
1019,1
1020,2
1021,1
1022,1
1023,2
1024,0
1025,1
1026,0
1027,3
1028,3
1029,1
1030,1
1031,1
1032,1
1033,0
1034,4
1035,4
1036,0
1037,1
1038,1
1039,1
1040,2
1041,1
1042,2
1043,3
1044,1
1045,2
1046,1
1047,1
1048,1
1049,1
1050,1
1051,3
1052,1
1053,1
1054,2
1055,1
1056,4
1057,1
1058,3
1059,2
1060,1
1061,3
1062,1
1063,2
1064,1
1065,1
1066,2
1067,0
1068,1
1069,3
1070,1
1071,1
1072,1
1073,2
1074,2
1075,4
1076,1
1077,0
1078,1
1079,1
1080,2
1081,1
1082,1
1083,1
1084,1
1085,1
1086,4
1087,3
1088,2
1089,1
1090,3
1091,2
1092,2
1093,2
1094,2
1095,1
1096,1
1097,2
1098,1
1099,1
1100,1
1101,1
1102,1
1103,2
1104,2
1105,1
1106,1
1107,4
1108,2
1109,1
1110,2
1111,3
1112,3
1113,3
1114,1
1115,2
1116,2
1117,2
1118,0
1119,1
1120,2
1121,1
1122,2
1123,0
1124,0
1125,1
1126,1
1127,1
1128,2
1129,1
1130,2
1131,1
1132,2
1133,4
1134,1
1135,1
1136,1
1137,1
1138,3
1139,3
1140,2
1141,1
1142,1
1143,4
1144,0
1145,1
1146,1
1147,1
1148,1
1149,0
1150,1
1151,1
1152,2
1153,1
1154,3
1155,3
1156,4
1157,4
1158,2
1159,1
1160,2
1161,3
1162,1
1163,1
1164,1
1165,1
1166,1
1167,1
1168,1
1169,1
1170,1
1171,1
1172,3
1173,1
1174,1
1175,1
1176,2
1177,2
1178,1
1179,0
1180,4
1181,2
1182,2
1183,1
1184,1
1185,3
1186,0
1187,1
1188,1
1189,1
1190,2
1191,3
1192,2
1193,1
1194,1
1195,1
1196,2
1197,1
1198,1
1199,0
1200,1
1201,1
1202,2
1203,3
1204,1
1205,1
1206,1
1207,1
1208,1
1209,3
1210,1
1211,1
1212,1
1213,2
1214,1
1215,2
1216,1
1217,2
1218,1
1219,2
1220,2
1221,3
1222,3
1223,1
1224,1
1225,2
1226,2
1227,1
1228,2
1229,2
1230,1
1231,1
1232,1
1233,1
1234,3
1235,1
1236,3
1237,1
1238,1
1239,1
1240,1
1241,1
1242,1
1243,1
1244,1
1245,2
1246,3
1247,1
1248,3
1249,3
1250,3
1251,1
1252,1
1253,1
1254,3
1255,1
1256,0
1257,2
